| Royce White | Republican | Candidate for U.S. Senate — Minnesota | 16 | 14 | likely-correct | abortion, civil-rights, climate-change, deportation, fossil-fuels, healthcare, immigration, misinformation, religious-freedom, same-sex-marriage, school-vouchers, trans-athletes, ukraine-support, voting-rights |
| John Laird | Democrat | Senator | 23 | 16 | likely-correct | abortion, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, misinformation, redistricting, taxes, trans-athletes, voting-rights |
| Roy Cooper | Democratic | Candidate for U.S. Senate — North Carolina | 23 | 16 | likely-correct | abortion, campaign-finance, civil-rights, climate-change, deportation, healthcare, homelessness, housing, immigration, medicare/aid, redistricting, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| E. Denise Simmons | Unknown | City Councillor | 23 | 16 | likely-correct | childcare, city-sanitation, civil-rights, climate-change, deportation, fossil-fuels, healthcare, housing, immigration, jail-capacity, local-environment, local-immigration, medicare/aid, rent-regulation, transportation-priorities, voting-rights |
| John Kennedy | Republican | Senator | 23 | 16 | likely-correct | abortion, campaign-finance, deportation, healthcare, homelessness, housing, immigration, medicare/aid, religious-freedom, school-vouchers, social-security, tariffs, taxes, trans-athletes, ukraine-support, voting-rights |
| Jacky Rosen | Democrat | Senator | 20 | 14 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, fossil-fuels, healthcare, judicial-criminal-justice, medicare/aid, same-sex-marriage, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Kerry Thomson | Democratic | City Mayor | 20 | 14 | likely-correct | abortion, childcare, civil-rights, climate-change, deportation, fossil-fuels, homelessness, housing, immigration, redistricting, religious-freedom, taxes, transportation-priorities, voting-rights |
| Hilda L. Solis | Democratic | Supervisor | 32 | 22 | likely-correct | abortion, civil-rights, climate-change, deportation, economic-development, fossil-fuels, healthcare, homelessness, homelessness-response, housing, immigration, jail-capacity, local-environment, local-immigration, medicare/aid, public-safety-approach, rent-regulation, same-sex-marriage, school-vouchers, social-security, transportation-priorities, voting-rights |
| Catherine Cortez Masto | Democrat | Senator | 26 | 18 | likely-correct | abortion, campaign-finance, childcare, civil-rights, deportation, healthcare, homelessness, housing, immigration, judicial-criminal-justice, judicial-interpretation, medicare/aid, redistricting, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Amy Klobuchar | Democrat | Senator | 26 | 18 | likely-correct | abortion, campaign-finance, childcare, civil-rights, healthcare, homelessness, housing, immigration, judicial-criminal-justice, judicial-interpretation, medicare/aid, redistricting, religious-freedom, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Matt Mahan | Unknown | Mayor | 16 | 11 | likely-correct | city-sanitation, data-centers, economic-development, growth-and-development, homelessness, homelessness-response, housing, jail-capacity, public-safety-approach, residential-zoning, taxes |
| Karen Kwan | Unknown | State Senator District 12 | 16 | 11 | likely-correct | childcare, climate-change, data-centers, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, redistricting, taxes |
| Adrin Nazarian | Democratic | Council Member | 37 | 25 | likely-correct | abortion, campaign-finance, childcare, city-sanitation, civil-rights, climate-change, deportation, fossil-fuels, homelessness, housing, immigration, jail-capacity, judicial-access-to-justice, judicial-bail-pretrial, judicial-criminal-justice, judicial-government-deference, judicial-interpretation, judicial-police-accountability, judicial-prosecution-priorities, judicial-transparency, local-environment, redistricting, rent-regulation, transportation-priorities, voting-rights |
| Kathryn Barger | Republican | Supervisor | 28 | 19 | likely-correct | city-sanitation, climate-change, deportation, economic-development, growth-and-development, healthcare, housing, immigration, jail-capacity, judicial-bail-pretrial, judicial-criminal-justice, judicial-prosecution-priorities, local-immigration, public-safety-approach, religious-freedom, residential-zoning, taxes, transportation-priorities, voting-rights |
| Tracy Miller | Unknown | State Representative District 45 | 28 | 19 | likely-correct | abortion, campaign-finance, civil-rights, climate-change, deportation, fossil-fuels, healthcare, immigration, jail-capacity, medicare/aid, misinformation, redistricting, religious-freedom, rent-regulation, same-sex-marriage, social-security, taxes, trans-athletes, voting-rights |
| Katy Hall | Unknown | State Representative District 11 | 28 | 19 | likely-correct | abortion, campaign-finance, childcare, climate-change, deportation, fossil-fuels, growth-and-development, homelessness, immigration, jail-capacity, medicare/aid, misinformation, redistricting, rent-regulation, same-sex-marriage, school-vouchers, social-security, taxes, voting-rights |
| Marsha Blackburn | Republican | Senator | 25 | 17 | likely-correct | abortion, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, immigration, jail-capacity, judicial-criminal-justice, judicial-interpretation, public-safety-approach, religious-freedom, same-sex-marriage, school-vouchers, social-security, trans-athletes |
| Seth Moulton | Democrat | Representative | 25 | 17 | likely-correct | abortion, campaign-finance, civil-rights, deportation, fossil-fuels, healthcare, jail-capacity, judicial-access-to-justice, judicial-criminal-justice, judicial-police-accountability, judicial-prosecution-priorities, judicial-transparency, redistricting, religious-freedom, taxes, ukraine-support, voting-rights |
| Angelique Ashby | Democrat | Senator | 25 | 17 | likely-correct | abortion, childcare, civil-rights, deportation, healthcare, homelessness, housing, immigration, medicare/aid, redistricting, same-sex-marriage, school-vouchers, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Laura Richardson | Democrat | Senator | 25 | 17 | likely-correct | abortion, campaign-finance, childcare, civil-rights, deportation, healthcare, homelessness, housing, immigration, medicare/aid, redistricting, school-vouchers, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Eloise Gómez Reyes | Democrat | Senator | 25 | 17 | likely-correct | abortion, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, redistricting, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Rafael Mandelman | Unknown | Supervisor | 25 | 17 | likely-correct | city-sanitation, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, jail-capacity, judicial-criminal-justice, local-environment, local-immigration, medicare/aid, religious-freedom, rent-regulation, transportation-priorities |
| Lori Trahan | Democrat | Representative | 25 | 17 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, housing, immigration, jail-capacity, judicial-access-to-justice, judicial-criminal-justice, judicial-police-accountability, judicial-prosecution-priorities, judicial-transparency, social-security, ukraine-support |
| Jake Auchincloss | Democrat | Representative | 25 | 17 | likely-correct | abortion, ai-regulation, campaign-finance, civil-rights, healthcare, immigration, jail-capacity, judicial-access-to-justice, judicial-criminal-justice, judicial-police-accountability, judicial-transparency, misinformation, redistricting, religious-freedom, taxes, ukraine-support, voting-rights |
| Caroline Menjivar | Democrat | Senator | 25 | 17 | likely-correct | abortion, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, redistricting, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Ash Kalra | Democrat | Assembly Member | 22 | 15 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, homelessness, housing, immigration, misinformation, redistricting, social-security, trans-athletes, voting-rights |
| Monique Limón | Democrat | Senator | 22 | 15 | likely-correct | abortion, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, redistricting, taxes, trans-athletes, voting-rights |
| Kirsten Gillibrand | Democrat | Senator | 22 | 15 | likely-correct | childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, immigration, medicare/aid, misinformation, redistricting, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Raphael Warnock | Democrat | Senator | 22 | 15 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, fossil-fuels, healthcare, housing, immigration, medicare/aid, redistricting, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Angie Craig | Democratic | Candidate for U.S. Senate — Minnesota | 22 | 15 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, healthcare, housing, judicial-criminal-justice, medicare/aid, redistricting, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Todd Young | Republican | U.S. Senate - Indiana | 22 | 15 | likely-correct | abortion, campaign-finance, civil-rights, deportation, fossil-fuels, healthcare, immigration, medicare/aid, misinformation, redistricting, religious-freedom, tariffs, taxes, trans-athletes, voting-rights |
| Lena Gonzalez | Democrat | Senator | 22 | 15 | likely-correct | abortion, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, redistricting, taxes, trans-athletes, voting-rights |
| Kevin Cramer | Republican | Senator | 19 | 13 | likely-correct | abortion, campaign-finance, civil-rights, climate-change, deportation, fossil-fuels, healthcare, immigration, religious-freedom, same-sex-marriage, school-vouchers, social-security, trans-athletes |
| Estuardo Mazariegos | Unknown | null | 19 | 13 | likely-correct | city-sanitation, civil-rights, climate-change, deportation, economic-development, growth-and-development, housing, immigration, jail-capacity, local-environment, rent-regulation, taxes, transportation-priorities |
| Bill Keating | Democrat | Representative | 19 | 13 | likely-correct | abortion, campaign-finance, civil-rights, fossil-fuels, healthcare, jail-capacity, medicare/aid, redistricting, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Dr. Darshana R. Patel | Democrat | Assembly Member | 19 | 13 | likely-correct | abortion, campaign-finance, childcare, civil-rights, data-centers, deportation, healthcare, housing, immigration, medicare/aid, misinformation, social-security, voting-rights |
| David Chiu | Unknown | City Attorney | 42 | 28 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, homelessness-response, housing, immigration, jail-capacity, judicial-access-to-justice, judicial-bail-pretrial, judicial-criminal-justice, judicial-interpretation, judicial-police-accountability, judicial-transparency, local-environment, medicare/aid, redistricting, social-security, taxes, trans-athletes, transportation-priorities, ukraine-support, voting-rights |
| Ashley Moody | Republican | Senator | 30 | 20 | likely-correct | civil-rights, climate-change, deportation, economic-development, fossil-fuels, healthcare, homelessness, homelessness-response, immigration, jail-capacity, judicial-criminal-justice, judicial-interpretation, medicare/aid, misinformation, public-safety-approach, redistricting, religious-freedom, same-sex-marriage, school-vouchers, voting-rights |
| Dave Cortese | Democrat | Senator | 24 | 16 | likely-correct | abortion, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, redistricting, social-security, taxes, trans-athletes, voting-rights |
| Mike McGuire | Democrat | Senator | 21 | 14 | likely-correct | abortion, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, immigration, medicare/aid, misinformation, redistricting, taxes, trans-athletes, voting-rights |
| James Risch | Republican | Senator | 21 | 14 | likely-correct | abortion, campaign-finance, deportation, fossil-fuels, healthcare, immigration, medicare/aid, religious-freedom, school-vouchers, social-security, tariffs, taxes, trans-athletes, voting-rights |
| Charles Schwertner | Republican | Senator | 21 | 14 | likely-correct | abortion, campaign-finance, childcare, civil-rights, data-centers, healthcare, homelessness, housing, medicare/aid, misinformation, religious-freedom, same-sex-marriage, taxes, trans-athletes |
| Ayah A. Al-Zubi | Unknown | City Councillor | 18 | 12 | likely-correct | civil-rights, climate-change, deportation, growth-and-development, homelessness, homelessness-response, housing, immigration, local-environment, public-safety-approach, rent-regulation, residential-zoning |
| Chris Pappas | Democratic | Candidate for U.S. Senate — New Hampshire | 18 | 12 | likely-correct | campaign-finance, civil-rights, climate-change, fossil-fuels, healthcare, medicare/aid, redistricting, religious-freedom, social-security, taxes, trans-athletes, voting-rights |
| Damon Connolly | Democrat | Assembly Member | 18 | 12 | likely-correct | abortion, childcare, civil-rights, climate-change, deportation, fossil-fuels, housing, immigration, misinformation, redistricting, trans-athletes, voting-rights |
| Roland Gutierrez | Democrat | Senator | 18 | 12 | likely-correct | abortion, civil-rights, climate-change, deportation, healthcare, homelessness, housing, immigration, medicare/aid, redistricting, taxes, voting-rights |
| Ben Bartlett | Unknown | Council Member (District 3) | 15 | 10 | likely-correct | ai-regulation, civil-rights, climate-change, homelessness-response, housing, jail-capacity, local-environment, local-immigration, public-safety-approach, rent-regulation |
| Tim Sheehy | Republican | Senator | 15 | 10 | likely-correct | abortion, climate-change, deportation, fossil-fuels, immigration, medicare/aid, school-vouchers, taxes, trans-athletes, ukraine-support |
| James Gallagher | Republican | Assembly Member | 15 | 10 | likely-correct | abortion, campaign-finance, civil-rights, healthcare, medicare/aid, misinformation, redistricting, taxes, trans-athletes, voting-rights |
| Mai Vang | Unknown | Council Member (District 8) | 15 | 10 | likely-correct | childcare, civil-rights, deportation, economic-development, homelessness, homelessness-response, housing, immigration, public-safety-approach, rent-regulation |
| James Lankford | Republican | Senator | 29 | 19 | likely-correct | campaign-finance, childcare, deportation, fossil-fuels, homelessness, homelessness-response, housing, immigration, jail-capacity, judicial-criminal-justice, medicare/aid, misinformation, public-safety-approach, redistricting, school-vouchers, social-security, taxes, trans-athletes, voting-rights |
| William N. Brownsberger | Democrat | Senator, Suffolk and Middlesex District | 29 | 19 | likely-correct | abortion, campaign-finance, childcare, civil-rights, deportation, healthcare, homelessness, immigration, jail-capacity, judicial-bail-pretrial, judicial-criminal-justice, judicial-police-accountability, judicial-prosecution-priorities, medicare/aid, public-safety-approach, taxes, trans-athletes, transportation-priorities, voting-rights |
| Rob Bonta | Democratic | Attorney General | 40 | 26 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, economic-development, fossil-fuels, homelessness, homelessness-response, housing, jail-capacity, judicial-access-to-justice, judicial-bail-pretrial, judicial-criminal-justice, judicial-interpretation, judicial-police-accountability, judicial-prosecution-priorities, judicial-transparency, medicare/aid, misinformation, public-safety-approach, rent-regulation, residential-zoning, social-security, ukraine-support, voting-rights |
| John Thune | Republican | Senator | 26 | 17 | likely-correct | abortion, civil-rights, deportation, fossil-fuels, healthcare, housing, immigration, jail-capacity, medicare/aid, misinformation, public-safety-approach, redistricting, religious-freedom, school-vouchers, social-security, taxes, voting-rights |
| Kevin McCarty | Unknown | Mayor | 23 | 15 | likely-correct | civil-rights, climate-change, deportation, fossil-fuels, healthcare, housing, immigration, jail-capacity, judicial-criminal-justice, judicial-police-accountability, local-environment, local-immigration, rent-regulation, taxes, transportation-priorities |
| Spencer J. Cox | Unknown | Utah Governor | 23 | 15 | likely-correct | abortion, civil-rights, data-centers, deportation, fossil-fuels, healthcare, homelessness, immigration, medicare/aid, redistricting, religious-freedom, school-vouchers, taxes, trans-athletes, voting-rights |
| Lois Kolkhorst | Republican | Senator | 23 | 15 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, homelessness, housing, immigration, medicare/aid, school-vouchers, social-security, tariffs, trans-athletes, voting-rights |
| John Fleming | Republican | Candidate for U.S. Senate — Louisiana | 20 | 13 | likely-correct | childcare, civil-rights, climate-change, fossil-fuels, healthcare, housing, immigration, misinformation, religious-freedom, same-sex-marriage, school-vouchers, social-security, taxes |
| Sarah Eckhardt | Democrat | Senator | 20 | 13 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, medicare/aid, redistricting, taxes, voting-rights |
| Bradley Meyer | Unknown | U.S. Representative | 20 | 13 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, homelessness, housing, immigration, misinformation, redistricting, voting-rights |
| Michael Bennet | Democrat | Senator | 20 | 13 | likely-correct | campaign-finance, childcare, civil-rights, deportation, healthcare, immigration, medicare/aid, redistricting, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Diane B. Dixon | Republican | Assembly Member | 17 | 11 | likely-correct | civil-rights, climate-change, data-centers, fossil-fuels, homelessness, homelessness-response, public-safety-approach, redistricting, tariffs, trans-athletes, voting-rights |
| James B. Eldridge | Democrat | Senator, Middlesex and Worcester District | 17 | 11 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, homelessness, housing, immigration, voting-rights |
| Jacqui Irwin | Democratic | Assembly Member | 17 | 11 | likely-correct | civil-rights, climate-change, deportation, healthcare, homelessness, immigration, medicare/aid, misinformation, redistricting, trans-athletes, voting-rights |
| Erin Houchin | Republican | U.S. House of Representatives - Indiana 9th Congressional District | 25 | 16 | likely-correct | abortion, childcare, civil-rights, data-centers, deportation, fossil-fuels, healthcare, homelessness, housing, medicare/aid, misinformation, religious-freedom, tariffs, taxes, trans-athletes, ukraine-support |
| Henry Stern | Democrat | Senator | 25 | 16 | likely-correct | abortion, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, housing, immigration, medicare/aid, redistricting, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Maura Healey | Democrat | Governor | 25 | 16 | likely-correct | campaign-finance, childcare, civil-rights, deportation, fossil-fuels, healthcare, housing, immigration, jail-capacity, redistricting, religious-freedom, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Brian W. Jones | Republican | Senator | 25 | 16 | likely-correct | abortion, childcare, civil-rights, climate-change, data-centers, deportation, fossil-fuels, healthcare, immigration, medicare/aid, religious-freedom, same-sex-marriage, school-vouchers, taxes, trans-athletes, voting-rights |
| Jasmeet Kaur Bains | Democrat | Assembly Member | 22 | 14 | likely-correct | abortion, campaign-finance, civil-rights, deportation, fossil-fuels, healthcare, homelessness, housing, jail-capacity, local-environment, medicare/aid, public-safety-approach, transportation-priorities, voting-rights |
| Abdul El-Sayed | Democratic | Candidate for U.S. Senate — Michigan | 22 | 14 | likely-correct | abortion, campaign-finance, civil-rights, healthcare, housing, immigration, medicare/aid, redistricting, religious-freedom, same-sex-marriage, school-vouchers, social-security, taxes, voting-rights |
| Mike Kennedy | Unknown | Representative | 22 | 14 | likely-correct | abortion, civil-rights, climate-change, deportation, fossil-fuels, immigration, medicare/aid, redistricting, religious-freedom, same-sex-marriage, school-vouchers, taxes, trans-athletes, voting-rights |
| Marni von Wilpert | Unknown | Council Member | 32 | 20 | likely-correct | abortion, campaign-finance, childcare, deportation, fossil-fuels, healthcare, homelessness, homelessness-response, immigration, jail-capacity, local-environment, medicare/aid, redistricting, social-security, tariffs, taxes, trans-athletes, transportation-priorities, ukraine-support, voting-rights |
| Rick Scott | Republican | Senator | 30 | 19 | likely-correct | childcare, civil-rights, climate-change, economic-development, fossil-fuels, healthcare, homelessness, housing, jail-capacity, judicial-criminal-justice, judicial-interpretation, medicare/aid, misinformation, public-safety-approach, religious-freedom, same-sex-marriage, school-vouchers, taxes, voting-rights |
| Edward J. Markey | Democrat | U.S. Senate - Massachusetts | 30 | 19 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, homelessness, housing, immigration, jail-capacity, judicial-access-to-justice, judicial-criminal-justice, judicial-police-accountability, judicial-prosecution-priorities, judicial-transparency, misinformation, religious-freedom, social-security, ukraine-support |
| Bob Archuleta | Democrat | Senator | 24 | 15 | likely-correct | abortion, childcare, civil-rights, deportation, healthcare, homelessness, housing, immigration, medicare/aid, same-sex-marriage, school-vouchers, social-security, taxes, ukraine-support, voting-rights |
| Mark Warner | Democrat | Senator | 24 | 15 | likely-correct | abortion, campaign-finance, childcare, civil-rights, healthcare, homelessness, housing, immigration, medicare/aid, misinformation, redistricting, taxes, trans-athletes, ukraine-support, voting-rights |
| Maggie Hassan | Democrat | Senator | 24 | 15 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, healthcare, homelessness, housing, medicare/aid, misinformation, redistricting, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Martin Heinrich | Democrat | Senator | 24 | 15 | likely-correct | campaign-finance, childcare, civil-rights, healthcare, homelessness, housing, immigration, medicare/aid, misinformation, redistricting, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Xavier Becerra | Unknown | null | 24 | 15 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, data-centers, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, redistricting, trans-athletes, ukraine-support |
| John Hoeven | Republican | Senator | 19 | 12 | likely-correct | abortion, civil-rights, climate-change, deportation, healthcare, immigration, medicare/aid, religious-freedom, social-security, taxes, trans-athletes, voting-rights |
| Steve Daines | Republican | Senator | 19 | 12 | likely-correct | abortion, campaign-finance, civil-rights, deportation, fossil-fuels, immigration, medicare/aid, school-vouchers, social-security, taxes, trans-athletes, voting-rights |
| Al Muratsuchi | Democratic | Assembly Member | 19 | 12 | likely-correct | childcare, civil-rights, climate-change, deportation, healthcare, homelessness, immigration, medicare/aid, misinformation, redistricting, taxes, voting-rights |
| Faizah Malik | Democratic | null | 19 | 12 | likely-correct | civil-rights, climate-change, deportation, fossil-fuels, homelessness, homelessness-response, housing, immigration, judicial-police-accountability, local-immigration, rent-regulation, transportation-priorities |
| Shelley Moore Capito | Republican | Senator | 16 | 10 | likely-correct | civil-rights, climate-change, deportation, healthcare, immigration, medicare/aid, religious-freedom, social-security, taxes, voting-rights |
| Megan Dahle | Republican | Senator | 16 | 10 | likely-correct | abortion, civil-rights, climate-change, data-centers, fossil-fuels, healthcare, medicare/aid, redistricting, same-sex-marriage, trans-athletes |
| Blanca Pacheco | Democratic | Assembly Member | 16 | 10 | likely-correct | civil-rights, deportation, healthcare, homelessness, housing, immigration, medicare/aid, misinformation, redistricting, voting-rights |
| Robert Rivas | Democrat | Assembly Member | 29 | 18 | likely-correct | abortion, campaign-finance, civil-rights, climate-change, deportation, fossil-fuels, healthcare, housing, immigration, jail-capacity, local-environment, medicare/aid, misinformation, redistricting, rent-regulation, taxes, trans-athletes, voting-rights |
| Gavin Newsom | Democratic | Governor | 29 | 18 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, economic-development, fossil-fuels, healthcare, housing, medicare/aid, misinformation, religious-freedom, social-security, tariffs, taxes, transportation-priorities, ukraine-support, voting-rights |
| Brian Schatz | Democrat | Senator | 26 | 16 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, judicial-criminal-justice, medicare/aid, misinformation, redistricting, religious-freedom, ukraine-support |
| Chuck Schumer | Democrat | Senator | 26 | 16 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, judicial-criminal-justice, medicare/aid, misinformation, redistricting, religious-freedom, ukraine-support |
| Melissa Hurtado | Democrat | Senator | 21 | 13 | likely-correct | abortion, childcare, civil-rights, deportation, healthcare, homelessness, housing, immigration, medicare/aid, redistricting, school-vouchers, trans-athletes, voting-rights |
| Isaac G. Bryan | Democratic | Assembly Member | 21 | 13 | likely-correct | abortion, campaign-finance, childcare, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, social-security, taxes |
| Aisha Wahab | Democrat | Senator | 21 | 13 | likely-correct | abortion, childcare, civil-rights, deportation, healthcare, homelessness, housing, immigration, medicare/aid, same-sex-marriage, social-security, taxes, voting-rights |
| Thom Tillis | Republican | Senator | 21 | 13 | likely-correct | abortion, ai-regulation, campaign-finance, civil-rights, deportation, fossil-fuels, judicial-criminal-justice, judicial-interpretation, medicare/aid, school-vouchers, taxes, trans-athletes, voting-rights |
| Karen E. Spilka | Democrat | Senator, Middlesex and Norfolk District | 21 | 13 | likely-correct | campaign-finance, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, jail-capacity, local-immigration, medicare/aid, religious-freedom, taxes |
| Ruben Gallego | Democrat | Senator | 21 | 13 | likely-correct | abortion, campaign-finance, childcare, civil-rights, healthcare, housing, medicare/aid, redistricting, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Annie Andrews | Democratic | Candidate for U.S. Senate — South Carolina | 28 | 17 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, homelessness-response, housing, immigration, judicial-criminal-justice, medicare/aid, religious-freedom, social-security, voting-rights |
| Candice B. Pierucci | Unknown | State Representative District 49 | 28 | 17 | likely-correct | abortion, campaign-finance, civil-rights, climate-change, fossil-fuels, growth-and-development, healthcare, homelessness, jail-capacity, medicare/aid, misinformation, religious-freedom, rent-regulation, same-sex-marriage, social-security, taxes, voting-rights |
| Linda T. Sanchez | Democratic | Representative | 28 | 17 | likely-correct | campaign-finance, childcare, civil-rights, deportation, fossil-fuels, healthcare, homelessness, homelessness-response, housing, medicare/aid, misinformation, public-safety-approach, religious-freedom, trans-athletes, transportation-priorities, ukraine-support, voting-rights |
| Mitch McConnell | Republican | Senator | 23 | 14 | likely-correct | abortion, civil-rights, deportation, fossil-fuels, immigration, judicial-criminal-justice, medicare/aid, misinformation, religious-freedom, same-sex-marriage, school-vouchers, social-security, taxes, trans-athletes |
| Richard Neal | Democrat | Representative | 23 | 14 | likely-correct | campaign-finance, childcare, civil-rights, healthcare, homelessness, housing, immigration, jail-capacity, medicare/aid, redistricting, religious-freedom, same-sex-marriage, social-security, voting-rights |
| Christopher Cabaldon | Democrat | Senator | 18 | 11 | likely-correct | abortion, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, trans-athletes |
| Michael J. Moran | Democrat | Representative, 18th Suffolk District | 18 | 11 | likely-correct | campaign-finance, childcare, climate-change, fossil-fuels, housing, immigration, jail-capacity, local-immigration, religious-freedom, taxes, voting-rights |
| Matt Dorsey | Unknown | Supervisor | 18 | 11 | likely-correct | city-sanitation, deportation, homelessness, homelessness-response, immigration, jail-capacity, judicial-criminal-justice, local-immigration, misinformation, public-safety-approach, rent-regulation |
| Cindy Hyde-Smith | Republican | Senator | 18 | 11 | likely-correct | campaign-finance, deportation, healthcare, immigration, jail-capacity, medicare/aid, redistricting, religious-freedom, tariffs, taxes, ukraine-support |
| Lindsey P. Horvath | Democratic | Supervisor | 35 | 21 | likely-correct | campaign-finance, childcare, civil-rights, deportation, economic-development, fossil-fuels, healthcare, homelessness, housing, immigration, judicial-access-to-justice, judicial-bail-pretrial, judicial-criminal-justice, judicial-transparency, local-environment, medicare/aid, public-safety-approach, redistricting, taxes, trans-athletes, voting-rights |
| Jim McGovern | Democrat | Representative | 30 | 18 | likely-correct | childcare, civil-rights, climate-change, deportation, fossil-fuels, homelessness, housing, immigration, jail-capacity, judicial-access-to-justice, judicial-criminal-justice, judicial-police-accountability, judicial-prosecution-priorities, judicial-transparency, misinformation, religious-freedom, ukraine-support, voting-rights |
| John Boozman | Republican | Senator | 30 | 18 | likely-correct | campaign-finance, childcare, deportation, economic-development, healthcare, homelessness, homelessness-response, housing, immigration, jail-capacity, judicial-criminal-justice, medicare/aid, misinformation, public-safety-approach, social-security, tariffs, taxes, voting-rights |
| Chris Van Hollen | Democrat | Senator | 25 | 15 | likely-correct | childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, housing, immigration, judicial-criminal-justice, judicial-interpretation, misinformation, redistricting, religious-freedom, trans-athletes, ukraine-support |
| César Blanco | Democrat | Senator | 25 | 15 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, healthcare, housing, immigration, medicare/aid, misinformation, redistricting, social-security, taxes, ukraine-support, voting-rights |
| Lilliana Young | Unknown | Indiana State Representative | 15 | 9 | likely-correct | civil-rights, climate-change, deportation, fossil-fuels, healthcare, housing, immigration, medicare/aid, religious-freedom |
| Akilah Weber Pierson | Democrat | Senator | 15 | 9 | likely-correct | abortion, childcare, civil-rights, deportation, healthcare, immigration, medicare/aid, taxes, voting-rights |
| Phil King | Republican | Senator | 15 | 9 | likely-correct | abortion, data-centers, deportation, healthcare, immigration, same-sex-marriage, taxes, trans-athletes, voting-rights |
| Donna Howard | Democrat | Representative | 15 | 9 | likely-correct | abortion, childcare, civil-rights, climate-change, deportation, healthcare, immigration, taxes, voting-rights |
| Pamela Campos | Unknown | Council Member (District 2) | 15 | 9 | likely-correct | city-sanitation, climate-change, economic-development, growth-and-development, homelessness, homelessness-response, local-environment, public-safety-approach, residential-zoning |
